<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,,,,,
LKOH,M,20120101,0,1712,1824.7,1711,1766.3,28822555,31.9344,1690,0.175011783,79.29447511,4248.485862
LKOH,M,20120201,0,1767,1894.2,1763.2,1875.1,36901168,30.4067,1700,0.160525288,79.45500039,4607.374582
LKOH,M,20120301,0,1865.7,1943.6,1760,1781.4,43147706,29.6666,1710,0.152637374,79.60763777,4722.800809
LKOH,M,20120401,0,1791,1835,1750.2,1794.3,39226487,29.8033,1720,0.162415804,79.77005357,4684.499628
LKOH,M,20120501,0,1801.5,1819.5,1546.5,1720,38021120,32.4509,1730,0.178350646,79.94840422,3810.070202
LKOH,M,20120601,0,1721,1805,1689.2,1801.7,38573027,34.0395,1740,0.188584488,80.1369887,3976.774081
LKOH,M,20120701,0,1803.7,1860,1763.7,1828,29844067,32.9907,1750,0.177369355,80.31435806,4293.647401
LKOH,M,20120801,0,1820.6,1898.3,1808,1837.4,27930271,32.5361,1760,0.171395986,80.48575404,4472.516476
LKOH,M,20120901,0,1837.4,2045.9,1831,1922.3,26612896,32.4608,1770,0.158662691,80.64441674,4548.869006
LKOH,M,20121001,0,1918.6,1992.7,1865.2,1904,25242239,31.5252,1780,0.158203443,80.80262018,4780.716606
LKOH,M,20121101,0,1899.8,1964.9,1837.6,1939.4,22033388,31.7267,1790,0.16146725,80.96408743,4689.413241
LKOH,M,20121201,0,1940.2,2040,1928.2,2000.2,20960454,30.994,1800,0.151931373,81.1160188,5046.393091
LKOH,M,20130101,0,2020.9,2038.9,1958.6,2020.1,14683169,30.4215,1810,0.149205454,81.26522426,5232.025647
LKOH,M,20130201,0,2021,2026.9,1945,1963,14313471,30.6202,1820,0.15106912,81.41629338,5171.575973
LKOH,M,20130301,0,1963,2063.5,1916.7,1998.5,19761321,31.0834,1830,0.150634359,81.56692773,5029.672764
LKOH,M,20130401,0,1980.1,2001.7,1846.7,1972.5,17909627,31.7203,1840,0.158466803,81.72539454,4757.908535
LKOH,M,20130501,0,1960.8,2088.4,1871.1,1878,18041601,31.5893,1850,0.151260774,81.87665531,4849.724741
LKOH,M,20130601,0,1873,1944.6,1781.3,1890.4,23822783,32.9097,1860,0.169236347,82.04589166,4440.889671
LKOH,M,20130701,0,1889,2029.8,1881.3,1950,17598986,33.321,1870,0.16415903,82.21005069,4641.570432
LKOH,M,20130801,0,1960.1,1988.1,1883.5,1924.5,20434159,33.2474,1880,0.167232031,82.37728272,4666.759265
LKOH,M,20130901,0,1931.2,2089.2,1922,2054.9,24002733,33.4656,1890,0.160183802,82.53746652,4740.300806
LKOH,M,20131001,0,2055,2140,2021.5,2102.4,21121043,32.4839,1900,0.151793925,82.68926045,5145.82116
LKOH,M,20131101,0,2102.4,2120.9,2034.8,2042.8,19811465,33.1916,1910,0.156497713,82.84575816,5078.831653
LKOH,M,20131201,0,2041.1,2056.3,1953,2039.7,23551248,33.2632,1920,0.161762389,83.00752055,4873.66482
LKOH,M,20140101,0,2017.9,2023,1946,1989,24003152,35.2448,1930,0.174220465,83.18174101,4592.781574
LKOH,M,20140201,0,1994,2067.6,1957.2,1963,24603900,36.0501,1940,0.174357226,83.35609824,4525.495227
LKOH,M,20140301,0,1932,1970.3,1715,1960,47289044,36.6505,1950,0.18601482,83.54211306,3909.216079
LKOH,M,20140401,0,1955.1,1982,1815.6,1880.1,25434802,36.0813,1960,0.182044904,83.72415796,4212.974067
LKOH,M,20140501,0,1864.5,2005.3,1850.5,1968,21641005,35.8381,1970,0.1787169,83.90287486,4332.324256
LKOH,M,20140601,0,1978,2163.8,1977.1,2036,23289605,35.1398,1980,0.162398558,84.06527342,4729.83489
LKOH,M,20140701,0,2035.1,2143,1936.2,2000.9,26775400,35.7271,1990,0.166715352,84.23198877,4564.881467
LKOH,M,20140801,0,1995,2108.7,1911.5,2055,17942601,36.9316,2000,0.175139185,84.40712796,4368.730981
LKOH,M,20140901,0,2052,2199,1999.3,2015,24749606,39.3866,2010,0.179111414,84.58623937,4293.675219
LKOH,M,20141001,0,2009,2120,1913,2120,32008912,43.3943,2020,0.204690094,84.79092947,3737.934431
LKOH,M,20141101,0,2113.4,2331.6,2065,2291.7,26392995,49.322,2030,0.211537142,85.00246661,3558.860013
LKOH,M,20141201,0,2280,2593.8,2053.6,2225,39227443,67.7851,2040,0.261335107,85.26380172,2583.130263
LKOH,M,20150101,0,2201,2998.5,2200.9,2789.9,23029729,68.9291,2050,0.229878606,85.49368032,2729.805569
LKOH,M,20150201,0,2805.1,3297.7,2697.6,2981.2,26467344,69.664,2060,0.211250265,85.70493059,3318.753169
